index,name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,codename,socket,lithography,cache,supported_mem,supported_chipset,release_date,passmark,category,passmarkPred,cinebench,cinePred,blender,blenderPred
350,Intel Xeon E5-2680 V2,,10,2.8,3.6,115,,True,Ivy Bridge-EP,2011,22,25.0,DDR3,,"Sep 1st, 2013",0.2744215517053027,Unknown,True,0.1859229747675962,True,0.2381856467258103,True
351,AMD Phenom II X6 1055T,46.36,6,2.8,2.8,125,,False,Thuban,AM3,45,6.0,"DDR2, DDR3","AMD 700 Series, AMD 800 Series, AMD 900 Series, nForce 630a, nForce 700a, nForce 900a","May 1st, 2010",0.0604994647031833,Desktop,False,0.0343625498007968,True,0.0880251303117125,True
352,AMD FX-8120,,8,3.1,3.1,125,,False,Zambezi,AM3+,32,8.0,DDR3,,"Oct 12th, 2011",0.1181148812515021,Unknown,True,0.0810092961487383,True,0.1346266698885015,True
353,AMD FX-8320E,,8,3.2,4.0,95,,False,Vishera,AM3+,32,8.0,DDR3,"AMD 700 Series, AMD 800 Series, AMD 900 Series","Sep 2nd, 2014",0.1514999235290262,Unknown,True,0.0644090305444887,False,0.0789809796679208,False
354,Intel Core i3-9300,248.0,4,3.7,4.3,62,Intel UHD Graphics 630,False,Coffee Lake,1151,14,8.0,,,"Apr 23rd, 2019",0.1497301667067228,Desktop,False,0.0838313413014608,True,0.1104629086264627,True
355,Intel Core i5-4440S,123.85,4,2.8,3.3,65,Intel HD Graphics 4600,False,Haswell,1150,22,6.0,,,"Sep 1st, 2013",0.0841399200332102,Desktop,False,0.0380146082337317,True,0.0803790258552245,False
356,Intel Xeon E5-2690 V3,,12,2.6,3.5,135,,True,Haswell-EP,2011-3,22,30.0,,,"Sep 8th, 2014",0.2675610129126701,Unknown,True,0.1970451527224435,True,0.2537194932514067,True
357,Intel Core i5-8400T,239.84,6,1.7,3.3,35,Intel UHD Graphics 630,False,Coffee Lake,1151,14,9.0,,,"Apr 2nd, 2018",0.1534007734492778,Desktop,False,0.0830013280212483,False,0.154768890883358,False
358,Intel Core i5-4570T,128.8,2,2.9,2.9,35,Intel HD Graphics 4600,True,Haswell,1150,22,4.0,,,"Jun 2nd, 2013",0.0592103825733575,Desktop,False,0.022742363877822,True,0.0666402015948082,False
359,Intel Core i7-3970X,239.87,6,3.5,3.5,150,,True,Sandy Bridge-E,2011,32,15.0,,,"Nov 1st, 2012",0.1736328082326465,Desktop,False,0.1155378486055776,True,0.1570644482032517,True
360,Intel Xeon E3-1230 V3,325.86,4,3.3,3.7,80,,True,Haswell-WS,1150,22,8.0,DDR3,"C226, 8 Series, 9 Series","Jun 2nd, 2013",0.13677379885949,Unknown,True,0.0707171314741035,True,0.1087369256791742,True
361,Intel Core i7-3960X,782.9,6,3.3,3.3,130,,True,Sandy Bridge-E,2011,32,15.0,DDR3,,"Nov 14th, 2011",0.1785051017063951,Desktop,False,0.1186918990703851,True,0.1426697504228658,False
362,Intel Celeron G1610,37.0,2,2.6,2.6,55,Intel HD Graphics,False,Ivy Bridge,1155,22,2.0,DDR3,,"Dec 3rd, 2012",0.0229849898402849,Desktop,False,0.0013280212483399,True,0.0224377783147502,True
363,Intel Core i5-2300,40.26,4,2.8,2.8,95,Intel HD Graphics 2000,False,Sandy Bridge,1155,32,6.0,DDR3,,"Jan 9th, 2011",0.0645415018899255,Desktop,False,0.0292164674634794,True,0.0690393178915392,True
364,Intel Core i9-9820X,685.0,10,3.3,4.1,165,,True,Skylake-X,2066,14,16.5,DDR4,,"Oct 19th, 2018",0.390264152592366,Desktop,False,0.273074369189907,True,0.308950947564638,True
365,Intel Pentium Gold G6500,89.99,2,4.1,4.1,58,Intel UHD Graphics 630,True,Comet Lake,1200,14,4.0,DDR4,,"Apr 30th, 2020",0.0812995695776617,Desktop,False,0.0333665338645418,True,0.0586834202078083,True
366,Intel Core i7-930,271.69,4,2.8,2.8,130,,True,Bloomfield,1366,45,8.0,DDR3,,"Feb 28th, 2010",0.0535515305119185,Desktop,False,0.0297144754316069,True,0.0707653008388277,True
367,Intel Core i7-960,379.99,4,3.2,3.2,130,,True,Bloomfield,1366,45,8.0,DDR3,,"Oct 20th, 2009",0.0615919071860866,Desktop,False,0.0312084993359893,True,0.0759432496806931,True
368,AMD Phenom II X6 1100T BE,,6,3.3,3.3,125,,False,Thuban,AM3,45,6.0,"DDR2, DDR3","AMD 700 Series, AMD 800 Series, AMD 900 Series, nForce 630a, nForce 700a, nForce 900a","Dec 7th, 2010",0.0856474906596167,Unknown,True,0.0444887118193891,True,0.1018329938900203,True
369,Intel Core i7-6700T,299.0,4,2.8,3.6,35,Intel HD Graphics 530,True,Skylake,1151,14,8.0,DDR4,,"Sep 1st, 2015",0.1495553759094583,Desktop,False,0.0775232403718459,False,0.1144154095757533,False
370,Intel Xeon E-2278G,494.0,8,3.4,5.0,80,Intel HD Graphics P630,True,Coffee Lake-S WS,1151,14,16.0,DDR4,"C242, C246","May 29th, 2019",0.3775481220913719,Server,False,0.3203851261620185,True,0.2727053056715799,True
371,Intel Pentium G3420,62.25,2,3.2,3.2,54,Intel HD Graphics,False,Haswell,1150,22,3.0,DDR3,,"Sep 1st, 2013",0.0341716008652144,Desktop,False,0.0192563081009296,True,0.0293417101039041,True
372,AMD Ryzen 9 PRO 7945,,12,3.7,5.4,65,Radeon,True,Raphael,AM5,5,64.0,DDR5,"X670E, X670, B650E, B650, A620","Jun 13th, 2023",0.7989250365968231,Unknown,True,0.5790172642762283,True,0.5316027477648521,True
373,Intel Pentium Gold G5400T,98.95,2,3.1,3.1,35,Intel UHD Graphics 610,True,Coffee Lake,1151,14,4.0,DDR4,,"Apr 2nd, 2018",0.0588389521291703,Server,False,0.0249003984063745,True,0.043149573682212,True
374,Intel Core i3-9100T,122.0,4,3.1,3.7,35,Intel UHD Graphics 630,False,Coffee Lake,1151,14,6.0,DDR4,,"Sep 1st, 2018",0.109091306342721,Desktop,False,0.0529548472775564,True,0.082847181469847,True
375,Intel Core i5-3340,278.02,4,3.1,3.3,77,Intel HD Graphics 2500,False,Ivy Bridge,G2 (988B),22,3.0,unknown,,"Jan 1st, 2013",0.0816928488715069,Desktop,False,0.0327025232403718,True,0.0742172667334046,True
376,AMD Phenom II X4 820,56.64,4,2.8,2.8,95,,False,Deneb,AM3,45,4.0,DDR3,"AMD 700 Series, AMD 800 Series, AMD 900 Series, nForce 630a, nForce 700a, nForce 900a","Sep 1st, 2009",0.0366405208765758,Desktop,False,0.0242363877822045,True,0.0535054713659429,True
377,Intel Core i3-3210,199.0,2,3.2,3.2,55,Intel HD Graphics 2500,True,Ivy Bridge,1155,22,3.0,DDR3,,"Jan 1st, 2013",0.0368371605234984,Desktop,False,0.0190903054448871,True,0.0345196589457696,True
378,Intel Xeon E3-1270 V3,420.0,4,3.5,3.9,80,,True,Haswell-WS,1150,22,8.0,"DDR3, DDR4",,"Jun 2nd, 2013",0.1418864296794773,Unknown,True,0.0833333333333333,True,0.1121888915737512,True
379,Intel Core i5-4460S,659.99,4,2.9,3.4,65,Intel HD Graphics 4000,False,Haswell,1150,22,6.0,DDR3,"H81, B85, H87, Z87, H91, B95, H97, Z97","May 11th, 2014",0.089077760055933,Desktop,False,0.0406706507304116,True,0.0776692326279816,True
380,Intel Core i5-7400T,174.85,4,2.4,3.0,35,Intel HD Graphics 630,False,Kaby Lake,1151,14,6.0,DDR4,,"Jan 3rd, 2017",0.0936004719351526,Desktop,False,0.0436586985391766,True,0.0742172667334046,True
381,Intel Core i5-3450S,95.0,4,2.8,2.8,65,Intel HD Graphics 2500,False,Ivy Bridge,1155,22,6.0,DDR3,,"Apr 29th, 2012",0.0838558849876554,Desktop,False,0.0365205843293492,True,0.0742172667334046,True
382,Intel Xeon E5-2690 V2,,10,3.0,3.6,130,,True,Ivy Bridge-EP,2011,22,25.0,DDR3,,"Sep 1st, 2013",0.278201402696148,Unknown,True,0.1870849933598937,True,0.2416376126203873,True
383,Intel Core i9-7940X,548.87,14,3.1,4.4,165,,True,Skylake-X,2066,14,19.25,DDR4,,"Sep 1st, 2017",0.5698616967816644,Desktop,False,0.4304448871181938,True,0.4383996686112741,True
384,Intel Core i3-7320,80.01,2,4.1,4.1,51,Intel HD Graphics 630,True,Kaby Lake,1151,14,4.0,DDR4,,"Jan 3rd, 2017",0.0967904039852301,Desktop,False,0.0416666666666666,False,0.0829334806172115,False
385,Intel Core i9-9960X,1399.99,16,3.1,4.4,165,,True,Skylake-X,2066,14,22.0,DDR4,,"Oct 19th, 2018",0.660468876313662,Desktop,False,0.5101261620185923,True,0.5039870206082364,True
386,Intel Xeon E5-2670 V2,,10,2.5,3.3,115,,True,Ivy Bridge-EP,2011,22,25.0,DDR3,,"Sep 1st, 2013",0.2405558347353011,Unknown,True,0.1669986719787516,True,0.219199834305637,True
387,Intel Core i5-9500T,192.0,6,2.2,3.7,35,Intel UHD Graphics 630,False,Coffee Lake,1151,14,9.0,DDR4,"Z390, Z370, H370, Q370, B360, B365, H610","Apr 1st, 2018",0.1710764928226528,Desktop,False,0.0936254980079681,True,0.132900686941213,True
388,Intel Xeon E3-1240 V2,345.0,4,3.4,3.4,69,,True,Ivy Bridge,1155,22,8.0,DDR3,,"May 14th, 2012",0.1283619917411348,Server,False,0.0695551128818061,True,0.1018329938900203,True
389,Intel Core i7-970,520.0,6,3.2,3.2,130,,True,Gulftown,1366,32,12.0,DDR3,,"Jul 19th, 2010",0.1326880639734317,Desktop,False,0.0893094289508632,True,0.0890779799095584,False
390,Intel Core i5-6600T,294.98,4,2.7,3.5,35,Intel HD Graphics 530,False,Skylake,1151,14,6.0,,,"Jul 2nd, 2015",0.1142476348620245,Desktop,False,0.0605909694555112,True,0.086299147364424,True
391,Intel Xeon E3-1240 V5,265.0,4,3.5,3.9,80,,True,Skylake-DT,1151,14,8.0,,,"Oct 19th, 2015",0.1518276562738971,Unknown,True,0.0851593625498007,True,0.1173668404156166,True
392,Intel Core i3-8100T,262.83,4,3.1,3.1,35,Intel UHD Graphics 630,False,Coffee Lake,1151,14,6.0,,,"Apr 2nd, 2018",0.1062946535864886,Desktop,False,0.0554448871181938,False,0.0844178259518795,False
393,Intel Core i5-4590T,209.95,4,2.0,2.0,35,Intel HD Graphics 4000,True,Haswell,1150,22,6.0,,,"May 11th, 2014",0.0776945093840809,Desktop,False,0.0273904382470119,False,0.0778590907521833,False
394,AMD Ryzen 5 PRO 7645,,6,3.8,5.1,65,Radeon,True,Raphael,AM5,5,32.0,,,"Jun 13th, 2023",0.446306451965304,Unknown,True,0.3140770252324036,True,0.2916911180917532,True
395,Intel Core i7-4790T,185.86,4,2.7,3.9,45,,True,Haswell,1150,22,8.0,,,"May 1st, 2014",0.1281435032445541,Desktop,False,0.070883134130146,True,0.0983810279954434,True
396,Intel Xeon E5-2680 V3,,12,2.5,3.3,120,,True,Haswell-EP,2011-3,22,30.0,"DDR3, DDR4","C612, X99","Sep 8th, 2014",0.2405558347353011,Unknown,True,0.172808764940239,True,0.2364596637785218,True
397,Intel Celeron G3920,495.09,2,2.6,2.6,35,Intel HD Graphics 510,False,Skylake,1151,14,4.0,"DDR3, DDR4",,"Sep 1st, 2015",0.0411632327557954,Desktop,False,0.0170982735723771,True,0.0293417101039041,True
398,Intel Core i7-2600S,365.0,4,2.8,2.8,65,Intel HD Graphics 2000,True,Sandy Bridge,1155,32,8.0,DDR3,,"Jan 9th, 2011",0.0895365858987524,Desktop,False,0.0400066401062416,True,0.0793952155752701,True
399,Intel Xeon E3-1241 V3,298.0,4,3.5,3.9,80,,True,Haswell-WS,1150,22,8.0,DDR3,"C226, 8 Series, 9 Series","May 11th, 2014",0.1418864296794773,Unknown,True,0.0833333333333333,True,0.1121888915737512,True
400,Intel Core i3-7100T,105.97,2,3.4,3.4,35,Intel HD Graphics 630,True,Kaby Lake,1151,14,3.0,DDR4,,"Jan 3rd, 2017",0.0734339837007581,Desktop,False,0.0302124833997343,True,0.0500535054713659,True
401,Intel Core i9-9940X,1205.04,14,3.3,4.4,165,,True,Skylake-X,2066,14,19.25,DDR4,,"Oct 19th, 2018",0.6114400576809631,Desktop,False,0.475929614873838,True,0.4608374469260243,True
402,Intel Core i3-550,99.99,2,3.2,3.2,73,Intel HD Graphics,True,Clarkdale,1156,32,4.0,DDR3,"H57, , H55, , P55, ","May 30th, 2010",0.0253883633026721,Desktop,False,0.0036520584329349,True,0.0310676930511926,True
403,Intel Core i3-2130,67.15,2,3.4,3.4,65,Intel HD Graphics 2000,True,Sandy Bridge,1155,32,3.0,DDR3,"Z77, Z75, Q77, H77, Q75, B75, Z68, P67, H67, Q67, B65, H61","Sep 4th, 2011",0.0340842054665821,Desktop,False,0.0197543160690571,True,0.0345196589457696,True
404,Intel Xeon E5-1620 V2,,4,3.7,3.9,130,,True,Ivy Bridge-E,2011,22,10.0,DDR3,,"Sep 10th, 2013",0.1364897638139351,Unknown,True,0.0831673306772908,True,0.1173668404156166,True
405,Intel Core i5-5675C,258.34,4,3.1,3.6,65,Iris Pro Graphics 6200,False,Broadwell,1150,14,4.0,DDR3,"Z97, H97","May 15th, 2015",0.1119098079486115,Desktop,False,0.0574369189907038,True,0.089751113259001,True
406,Intel Core i5-2310,77.74,4,2.9,2.9,95,Intel HD Graphics 2000,False,Sandy Bridge,1155,32,6.0,DDR3,,"May 22nd, 2011",0.069413795363674,Desktop,False,0.0292164674634794,True,0.0707653008388277,True
407,Intel Xeon E5-1620,179.91,4,3.6,3.8,130,,True,Sandy Bridge-E,2011,32,10.0,DDR3,,"Mar 6th, 2012",0.1189669863881666,Server,False,0.0755312084993359,True,0.1070109427318858,True
408,AMD Opteron 6378,1709.92,16,2.4,3.3,115,,False,Abu Dhabi,G34,32,8.0,DDR3,,"Nov 5th, 2012",0.1193602656820118,Server,False,0.1085657370517928,True,0.2002140218854637,True
409,Intel Core i9-9900X,654.99,10,3.5,4.4,165,,True,Skylake-X,2066,14,19.25,DDR4,,"Oct 19th, 2018",0.4684830343682405,Desktop,False,0.3183930942895085,False,0.3265732334564534,False
410,Intel Pentium G3460,54.49,2,3.5,3.5,53,Intel HD Graphics,False,Haswell,1150,22,3.0,DDR3,,"Jul 21st, 2014",0.0379951495553759,Desktop,False,0.0199203187250995,True,0.0310676930511926,True
411,AMD Phenom II X4 955 BE,,4,3.2,3.2,125,,False,Deneb,AM3,45,6.0,DDR3,"AMD 700 Series, AMD 800 Series, AMD 900 Series, nForce 630a, nForce 700a, nForce 900a","Apr 23rd, 2009",0.0454893049880923,Unknown,True,0.0257304116865869,True,0.0638613690496738,True
412,Intel Core i7-875K,205.86,4,2.93,2.93,95,,True,Lynnfield,1156,45,8.0,DDR3,"H55, H57, P55","May 30th, 2010",0.0588389521291703,Desktop,False,0.0297144754316069,True,0.0690393178915392,True
413,Intel Core i5-2550K,148.56,4,3.4,3.4,95,,False,Sandy Bridge,1155,32,6.0,DDR3,"Z77, Z75, Q77, H77, Q75, B75, Z68, P67, H67, Q67, B65, H61","Jan 30th, 2012",0.0807751971858681,Desktop,False,0.0370185922974767,True,0.0776692326279816,True
414,Intel Core i7-980,556.02,6,3.333,3.333,130,,True,Gulftown,1366,32,12.0,DDR3,,"Jun 26th, 2011",0.1440276169459677,Desktop,False,0.0954515272244355,True,0.1363526528357899,True
415,Intel Xeon E5-2620 V2,,6,2.1,2.6,80,,True,Ivy Bridge-EP,2011,22,15.0,DDR3,,"Sep 1st, 2013",0.1549957394743166,Unknown,True,0.099269588313413,True,0.1346266698885015,True
416,Intel Core i5-7600T,147.91,4,2.8,3.7,35,Intel HD Graphics 630,False,Kaby Lake,1151,14,6.0,DDR4,,"Jan 3rd, 2017",0.1233804540190958,Desktop,False,0.0659030544488711,False,0.0881804687769685,False
417,AMD Phenom II X4 945,27.5,4,3.0,3.0,125,,False,Deneb,AM3,45,6.0,DDR3,"AMD 700 Series, AMD 800 Series, AMD 900 Series, nForce 630a, nForce 700a, nForce 900a","Jul 22nd, 2009",0.0400926391225502,Desktop,False,0.0242363877822045,True,0.0604094031550968,True
418,Intel Core i5-4690S,138.47,4,3.2,3.9,65,Intel HD Graphics 4600,False,Haswell,1150,22,6.0,DDR3,"H81, B85, H87, Z87, H91, B95, H97, Z97","May 1st, 2014",0.1082392012060564,Desktop,False,0.0516268260292164,True,0.0880251303117125,True
419,Intel Xeon E5-2667 V2,,8,3.3,4.0,130,,True,Ivy Bridge-EP,2011,22,20.0,DDR3,,"Sep 1st, 2013",0.2749896217964124,Unknown,True,0.1864209827357237,True,0.2243777831475025,True
420,Intel Pentium Gold G6600,66.0,2,4.2,4.2,58,Intel UHD Graphics 630,True,Comet Lake,1200,14,4.0,DDR4,,"Apr 30th, 2020",0.08673993314252,Desktop,False,0.0405046480743691,True,0.0621353861023853,True
421,Intel Core i3-4330,96.95,2,3.5,3.5,54,Intel HD Graphics 4600,True,Haswell,1150,22,4.0,DDR3,,"Sep 1st, 2013",0.0680154689855579,Desktop,False,0.0257304116865869,False,0.0783768856363699,False
422,AMD Phenom II X6 1045T,45.0,6,2.7,2.7,95,,False,Thuban,AM3,45,6.0,"DDR2, DDR3","AMD 700 Series, AMD 800 Series, AMD 900 Series, nForce 630a, nForce 700a, nForce 900a","Sep 1st, 2010",0.0569817999082348,Desktop,False,0.0343625498007968,True,0.0811211985225585,True
423,Intel Celeron G5920,59.97,2,3.5,3.5,58,Intel UHD Graphics 610,False,Comet Lake,1200,14,2.0,DDR4,,"Apr 30th, 2020",0.0449212348969826,Desktop,False,0.0199203187250995,True,0.036245641893058,True
424,Intel Core i3-560,129.94,2,3.333,3.333,73,Intel HD Graphics,True,Clarkdale,1156,32,4.0,DDR3,"H57, , H55, , P55, ","Aug 29th, 2010",0.0277480390657431,Desktop,False,0.0039840637450199,True,0.0327936759984811,True
425,Intel Xeon E3-1260L V5,,4,2.9,3.9,45,,True,Skylake-DT,1151,14,8.0,"DDR3, DDR4",,"Oct 19th, 2015",0.1471957001463872,Unknown,True,0.0844953519256308,True,0.1087369256791742,True
426,Intel Xeon E3-1225 V3,381.02,4,3.2,3.6,84,Intel HD Graphics P4600,False,Haswell-WS,1150,22,8.0,DDR3,"C226, 8 Series, 9 Series","Jun 2nd, 2013",0.0992811728462496,Unknown,True,0.0444887118193891,True,0.086299147364424,True
427,Intel Xeon E-2236,435.0,6,3.4,4.8,80,,True,Coffee Lake-S WS,1151,14,12.0,DDR4,"C242, C246","May 29th, 2019",0.3032838821036072,Server,False,0.2287516600265604,True,0.2157478684110601,True
428,Intel Pentium G620,11.99,2,2.6,2.6,65,Intel HD Graphics,False,Sandy Bridge,1155,32,3.0,DDR3,,"May 22nd, 2011",0.0170639515829491,Desktop,False,0.0016600265604249,True,0.0207117953674617,True
429,Intel Xeon E3-1240L V5,,4,2.1,3.2,25,,True,Skylake-DT,1151,14,8.0,"DDR3, DDR4",,"Oct 19th, 2015",0.1231619655225152,Unknown,True,0.0692231075697211,True,0.0914770962062895,True
430,Intel Core i5-3570S,66.9,4,3.1,3.8,65,Intel HD Graphics 2500,False,Ivy Bridge,1155,22,6.0,DDR3,,"Jun 1st, 2012",0.0916340754659267,Desktop,False,0.0415006640106241,True,0.0744934240049708,False
431,Intel Xeon E-2288G,539.0,8,3.7,5.0,95,Intel HD Graphics P630,True,Coffee Lake-S WS,1151,14,16.0,DDR4,"C242, C246","May 29th, 2019",0.3689615241757521,Server,False,0.3200531208499335,True,0.2709793227242915,True
432,Intel Xeon E5-2630 V2,,6,2.6,3.1,80,,True,Ivy Bridge-EP,2011,22,15.0,DDR3,,"Sep 1st, 2013",0.1661605016495881,Unknown,True,0.1067397078353253,True,0.1415306016776554,True
433,Intel Xeon E5-2660 V2,,10,2.2,3.0,95,,True,Ivy Bridge-EP,2011,22,25.0,DDR3,,"Sep 1st, 2013",0.2242347440407262,Unknown,True,0.1668326693227091,True,0.2071179536746177,True
434,Intel Core i3-6100T,289.95,2,3.2,3.2,35,Intel HD Graphics 530,True,Skylake,1151,14,3.0,"DDR3, DDR4",,"Sep 1st, 2015",0.069719679258887,Desktop,False,0.023738379814077,False,0.0526597397217715,False
435,Intel Core i3-2120T,133.89,2,2.6,2.6,35,Intel HD Graphics 2000,True,Sandy Bridge,1155,32,3.0,DDR3,"Z77, Z75, Q77, H77, Q75, B75, Z68, P67, H67, Q67, B65, H61","Sep 4th, 2011",0.0231597806375494,Desktop,False,0.0013280212483399,True,0.0224377783147502,True
436,Intel Xeon E3-1270 V2,84.99,4,3.5,3.5,69,,True,Ivy Bridge,1155,22,8.0,DDR3,,"May 14th, 2012",0.1312023421966833,Server,False,0.0771912350597609,True,0.1035589768373088,True
437,Intel Xeon E3-1265L V3,398.95,4,2.5,3.7,45,Intel HD Graphics,True,Haswell-WS,1150,22,8.0,"DDR3, DDR4",,"Jun 2nd, 2013",0.1347418558412899,Unknown,True,0.0707171314741035,True,0.1018329938900203,True
438,Intel Core i3-6320,106.6,2,3.9,3.9,51,Intel HD Graphics 530,True,Skylake,1151,14,4.0,DDR4,,"Sep 1st, 2015",0.0862155607507264,Desktop,False,0.0385126162018592,True,0.0604094031550968,True
439,Intel Core i3-4340,94.88,2,3.6,3.6,54,Intel HD Graphics 4600,True,Haswell,1150,22,4.0,DDR3,,"Sep 1st, 2013",0.0672944569468417,Desktop,False,0.0253984063745019,True,0.0500535054713659,True
440,Intel Xeon E5-2650L V2,,10,1.7,2.1,70,,True,Ivy Bridge-EP,2011,22,25.0,DDR3,,"Sep 1st, 2013",0.2068430597129061,Unknown,True,0.1492363877822045,True,0.1933100900963098,True
441,Intel Pentium G3250,65.72,2,3.2,3.2,53,Intel HD Graphics,False,Haswell,1150,22,3.0,DDR3,,"Jul 21st, 2014",0.0328169721864143,Desktop,False,0.0034860557768924,True,0.0276157271566156,True
442,Intel Core i3-540,149.94,2,3.06,3.06,73,Intel HD Graphics,True,Clarkdale,1156,32,4.0,DDR3,"H57, , H55, , P55, ","Jan 7th, 2010",0.0238152461272913,Desktop,False,0.0036520584329349,True,0.0293417101039041,True
443,Intel Core i7-975,770.0,4,3.33,3.33,130,,True,Bloomfield,1366,45,8.0,DDR3,,"Jun 2nd, 2009",0.0643230133933448,Desktop,False,0.0320385126162018,True,0.0776692326279816,True
444,Intel Xeon E5-2690,135.4,8,2.9,3.8,135,,True,Sandy Bridge-EP,2011,32,20.0,DDR3,,"Mar 6th, 2012",0.2055102798837641,Server,False,0.1527224435590969,True,0.1284821705961545,False
445,Intel Core i7-9700T,323.0,8,2.0,4.3,35,Intel HD Graphics 630,False,Coffee Lake,1151,14,12.0,DDR4,,"Apr 23rd, 2019",0.2252616399746553,Desktop,False,0.1591965471447543,True,0.179502226518002,True
446,Intel Core i9-9920X,999.0,12,3.5,4.4,165,,True,Skylake-X,2066,14,19.25,DDR4,,"Oct 19th, 2018",0.5432716467477987,Desktop,False,0.4120185922974767,True,0.4090579585073699,True
447,Intel Xeon E-2286G,1427.23,6,4.0,4.9,95,Intel HD Graphics P630,True,Coffee Lake-S WS,1151,14,12.0,DDR4,"C242, C246","May 29th, 2019",0.3049662435272783,Server,False,0.2174634794156706,True,0.2391867168352377,False
448,Intel Xeon E3-1220 V2,93.0,4,3.1,3.1,69,,False,Ivy Bridge,1155,22,8.0,DDR3,,"May 14th, 2012",0.0931853437916493,Server,False,0.0443227091633466,True,0.0647933998412095,False
449,Intel Xeon E3-1275 V2,374.0,4,3.5,3.5,77,Intel HD Graphics P4000,True,Ivy Bridge,1155,22,8.0,DDR3,,"May 14th, 2012",0.1351788328344512,Server,False,0.0751992031872509,True,0.1070109427318858,True
450,Intel Xeon E3-1270 V5,,4,3.6,4.0,80,,True,Skylake-DT,1151,14,8.0,"DDR3, DDR4",,"Oct 19th, 2015",0.1518276562738971,Unknown,True,0.0851593625498007,True,0.1173668404156166,True
451,Intel Core i5-3330S,229.95,4,2.7,3.2,65,Intel HD Graphics 2500,False,Ivy Bridge,1155,22,6.0,DDR3,,"Sep 3rd, 2012",0.0739365072428936,Desktop,False,0.0310424966799468,True,0.0690393178915392,True
452,Intel Xeon E-2104G,336.75,4,3.2,3.2,65,Intel HD Graphics P630,False,Coffee Lake-S WS,1151,14,8.0,DDR4,"C242, C246","Jul 12th, 2018",0.1230308724245668,Server,False,0.0662350597609561,True,0.0949290621008664,True
453,Intel Xeon E-2274G,567.99,4,4.0,4.9,83,Intel HD Graphics P630,True,Coffee Lake-S WS,1151,14,8.0,DDR4,"C242, C246","May 29th, 2019",0.2017522777425768,Server,False,0.1306440903054448,True,0.1449825675722323,True
454,Intel Core i3-3225,200.0,2,3.3,3.3,55,Intel HD Graphics 4000,True,Ivy Bridge,1155,22,3.0,DDR3,,"Sep 3rd, 2012",0.0392405339858856,Desktop,False,0.0192563081009296,True,0.036245641893058,True
455,AMD FX-4130,,4,3.8,3.8,125,,False,Zambezi,AM3+,32,8.0,,,"Aug 27th, 2012",0.0887063296117459,Unknown,True,0.0426626826029216,True,0.086299147364424,True
456,Intel Xeon E5-2687W,192.0,8,3.1,3.8,150,,True,Sandy Bridge-EP,2011,32,20.0,,,"Mar 6th, 2012",0.2047237212960737,Server,False,0.1527224435590969,True,0.1898581242017329,True
457,Intel Xeon E5-1650,112.0,6,3.2,3.8,130,,True,Sandy Bridge-E,2011,32,12.0,,,"Mar 6th, 2012",0.1679521073215495,Server,False,0.1178618857901726,True,0.10877144533812,False
458,Intel Xeon E5-2650L,189.95,8,1.8,2.3,70,,True,Sandy Bridge-EP,2011,32,20.0,,,"Mar 6th, 2012",0.1202342196683344,Server,False,0.0927954847277556,True,0.129448721046636,True
459,Intel Pentium G4620,146.0,2,3.7,3.7,51,Intel HD Graphics 630,True,Kaby Lake,1151,14,3.0,,,"Jan 3rd, 2017",0.0732154952041775,Desktop,False,0.0305444887118193,True,0.0535054713659429,True
460,Intel Core i3-7300,299.99,2,4.0,4.0,51,Intel HD Graphics 630,True,Kaby Lake,1151,14,4.0,,,"Jan 3rd, 2017",0.0934475299875461,Desktop,False,0.0439907038512616,True,0.0655873519969622,True
461,Intel Core i5-8600T,199.99,6,2.3,3.7,35,Intel UHD Graphics 630,False,Coffee Lake,1151,14,9.0,,,"Apr 2nd, 2018",0.1704428761825689,Desktop,False,0.0936254980079681,True,0.132900686941213,True
462,Intel Core i3-2105,113.0,2,3.1,3.1,65,Intel HD Graphics 3000,True,Sandy Bridge,1155,32,3.0,,,"May 22nd, 2011",0.0315715877559046,Desktop,False,0.0036520584329349,True,0.0327936759984811,True
463,Intel Xeon E3-1225 V5,295.0,4,3.3,3.7,80,Intel HD Graphics P530,False,Skylake-DT,1151,14,8.0,,,"Oct 19th, 2015",0.1245821407502894,Unknown,True,0.0664010624169986,True,0.0983810279954434,True
464,Intel Pentium G630,14.99,2,2.7,2.7,65,Intel HD Graphics,False,Sandy Bridge,1155,32,3.0,,,"Sep 4th, 2011",0.0185933710590137,Desktop,False,0.0016600265604249,True,0.0224377783147502,True
465,Intel Celeron G1620,70.27,2,2.7,2.7,55,Intel HD Graphics,False,Ivy Bridge,1155,22,2.0,,,"Dec 3rd, 2012",0.0227228036443881,Desktop,False,0.0013280212483399,True,0.0224377783147502,True
466,Intel Xeon E3-1240 V3,,4,3.4,3.8,80,,True,Haswell-WS,1150,22,8.0,,,"Jun 2nd, 2013",0.1363805195656448,Unknown,True,0.0785192563081009,True,0.1087369256791742,True
467,Intel Xeon E5-4650,78.19,8,2.7,3.3,130,,True,Sandy Bridge-EP,2011,32,20.0,,,"May 14th, 2012",0.1792479625947693,Server,False,0.12433598937583,True,0.172598294728848,True
468,Intel Xeon E5-2650 V3,,10,2.3,3.0,105,,True,Haswell-EP,2011-3,22,25.0,,,"Sep 8th, 2014",0.2247591164325198,Unknown,True,0.1663346613545816,True,0.2088439366219061,True
