,name,Blender Score,Number of Benchmarks
770,"AMD A8-9600 R7, 10 COMPUTE CORES 4C+6G",21.77,1
769,Intel Core i7-6600U,22.11,1
28,AMD EPYC 9354P,960.37,1
765,Intel Core i5-6267U,22.65,1
11,Intel Xeon Gold 6448Y,872.66,1
763,Intel Core i5-4210M,22.95,1
824,Intel Core i5-3230M,12.24,1
826,Intel Celeron N4100,12.11,1
29,Intel Xeon E7-8880 v3,279.62,1
760,AMD A10-6700 APU with Radeon(tm) HD Graphics,23.53,1
30,AMD EPYC 9374F,889.76,1
758,Intel Core i3-4170,23.63,1
31,Intel Xeon Gold 6240R,488.23,1
756,Intel Core i3-7100,23.76,1
686,AMD FX-8320E,36.76,1
127,Intel Core i5-13600,292.6,1
684,Intel Xeon E31270,36.86,1
551,Intel Xeon E3-1276 v3,60.89,1
255,Intel Core i5-11600,178.84,1
257,AMD Ryzen 7 3700,177.89,1
264,AMD Ryzen 7 4700G,173.55,1
509,Intel Xeon E-2244G,73.79,1
508,Intel Xeon E3-1280 v5,74.57,1
507,Intel Core i5-10400H,74.69,1
504,Intel Xeon Silver 4215R,75.34,1
270,AMD Ryzen 7 6850H,169.5,1
271,AMD Ryzen 7 6800HS Creator Edition,169.12,1
501,Intel Core i3-10320,75.73,1
276,Intel Xeon W-2145,167.51,1
281,Intel Core i9-11900KB,165.03,1
495,Intel Xeon W-2125,78.22,1
287,Intel Xeon W-3223,162.95,1
493,Intel Xeon E5-2650 0,47.04,1
291,AMD EPYC 7252,160.8,1
300,AMD Ryzen 5 7640HS w/ Radeon 760M Graphics,157.81,1
253,Intel Xeon W-2155,180.8,1
517,Intel Xeon E5-2660 v2,72.11,1
520,Intel Xeon E3-1230 v3,71.49,1
537,Intel Xeon E5-1630 v3,67.31,1
548,Intel Xeon E3-1505M v5,62.66,1
200,Intel Xeon E5-2690 v2,126.86,1
211,Intel Xeon E5-2643 v4,125.09,1
541,Intel Xeon E5-2690,65.44,1
540,Intel Xeon W-2123,66.01,1
215,Intel Xeon E-2388G,205.93,1
220,Intel Xeon E5-2697 v3,203.06,1
250,Intel Xeon E5-2667 v3,108.9,1
533,AMD EPYC 9354,20.26,1
531,Intel Xeon E3-1230 v5,68.69,1
223,AMD Ryzen 7 5700GE,202.58,1
230,Intel Xeon E5-2630 v3,117.29,1
243,AMD Ryzen 7 5800,185.95,1
524,Intel Xeon E3-1245 v5,71.03,1
522,Intel Xeon E5-2689 0,71.21,1
308,Intel Xeon Gold 6244,153.33,1
311,Intel Xeon W-2140B,152.11,1
482,Intel Core i5-8400T,80.67,1
382,Intel Xeon X5680 ,72.2,1
436,Intel Core i5-10505,99.89,1
434,Intel Xeon W-2133,101.4,1
375,Intel Core i7-1270P,122.94,1
432,Intel Core i3-10105,102.08,1
1,Intel Xeon Gold 6448H,1026.01,1
377,Intel Xeon E5-2637 v3,73.5,1
428,Intel Xeon E-2234,103.36,1
381,AMD Ryzen 7 5875U,120.6,1
441,Intel Xeon E-2276M ,97.37,1
424,Intel Core i5-10600,105.54,1
385,Intel Xeon Gold 6128,118.73,1
421,Intel Xeon D-1541,106.5,1
417,AMD EPYC 7773X,108.17,1
392,AMD Ryzen 5 7535U,115.22,1
401,"AMD Eng Sample, ZS288057TGG54_35/28/20_2/16",67.72,1
402,Intel Core i5-10500,112.78,1
440,Intel Core i7-1365U,97.56,1
358,Intel Xeon E-2286G,129.58,1
313,Intel Xeon E5-2673 v3,150.6,1
337,AMD EPYC 74F3,140.31,1
314,Intel Xeon Silver 4210,149.28,1
315,AMD Ryzen 5 7535HS,148.92,1
474,Intel Core i7-9750HF,85.21,1
473,AMD EPYC 7401P,85.32,1
334,Intel Xeon E5-2620 v4,84.76,1
357,AMD Ryzen 5 5675U,130.51,1
341,Intel Xeon E5-2650 v3,136.69,1
457,Intel Xeon E5-1680 v2,90.67,1
347,Intel Xeon Silver 4116,135.03,1
453,Intel Xeon E5-2630,56.76,1
348,Intel Xeon E-2286M,134.94,1
449,Westmere E56xx/L56xx/X56xx (Nehalem-C),95.48,1
448,Intel Xeon E5-1650 v3,95.57,1
446,Intel Xeon E5-2630L v3,96.37,1
550,AMD Ryzen 5 3400GE,61.37,1
195,AMD Ryzen 7 7840H with Radeon 780M Graphics,213.7,1
683,AMD Ryzen 3 3300U with Radeon Vega Mobile Gfx,37.07,1
187,Intel Xeon W-2265,222.31,1
649,Intel Xeon X5687,42.49,1
648,Intel Core i7-970,42.61,1
645,Intel Core i7-3720QM,42.97,1
112,Intel Xeon W-2191B,320.23,1
113,AMD EPYC 7302P,318.82,1
638,Intel Core i7-10610U,44.27,1
636,Intel Core i7-10710U,44.61,1
123,Intel Core i9-9980XE,302.2,1
124,Intel Xeon Gold 6246R,296.86,1
405,Intel Xeon E5-4627 v4,112.17,1
632,Intel Core i7-8565U,44.72,1
631,Intel Xeon X5650,44.76,1
131,Intel Xeon Gold 6144,173.89,1
628,Intel Core i5-6500T,45.52,1
627,Intel Core i5-6300HQ,45.55,1
132,Intel Xeon W-2295,287.74,1
624,Intel Core i7-4910MQ,46.55,1
133,AMD Ryzen Threadripper 3945WX,286.32,1
650,Intel Xeon E5620,25.46,1
107,AMD EPYC-Rome,194.48,1
654,Intel Core i7-8665U,41.49,1
670,Intel Core i3-7320,39.05,1
81,AMD EPYC 7313P,398.16,1
678,Intel Core i7-7660U,37.46,1
677,AMD Ryzen 3 5450U,37.56,1
676,Intel Core i5-4440S,37.57,1
675,Intel Core i7-4702MQ,37.62,1
84,Intel Core i7-13790F,392.92,1
673,AMD Ryzen 3 5475U,38.9,1
669,Intel Core i5-4670,39.18,1
655,AMD Ryzen 3 4300U,41.47,1
92,Intel Xeon Silver 4214,218.03,1
665,AMD Ryzen 7 3700U with Radeon Vega Mobile Gfx,39.38,1
101,Intel Core i9-12900F,339.36,1
661,Intel Xeon X3470,39.55,1
103,Intel Xeon E5-2660 v4,200.41,1
658,Intel Core i7-3940XM,40.37,1
105,AMD EPYC 7D12,329.71,1
106,Intel Core i9-7960X,324.22,1
622,Intel Core i7-4700MQ,47.13,1
134,Intel Xeon E5-2697A v4,286.28,1
618,Intel Core i7X 980,47.39,1
574,Intel Core i7-4710HQ,55.95,1
584,Intel Core i3-9100,53.99,1
582,Intel Core i5-4670K,54.09,1
581,10X Virtual,54.18,1
580,Intel Core i7-4960X,54.5,1
164,Intel Xeon E5-2630 v4,147.46,1
165,Intel Xeon E5-2697 v4,242.98,1
577,Intel Xeon W3690,54.92,1
166,AMD Ryzen 9 5945,242.59,1
169,Intel Xeon E5-2695 v4,240.33,1
569,Intel Core i7-6700T,57.29,1
176,Intel Xeon Gold 6346,140.47,1
567,Intel Core i7-4940MX,57.39,1
565,AMD Ryzen 3 5300U,57.65,1
179,Intel Core i9-12950HX,231.47,1
180,Intel Xeon Silver 4310,229.27,1
585,Intel Core i5-7600,53.83,1
159,Intel Xeon Silver 4210R,151.32,1
601,Intel Core i7-4771,51.07,1
615,Intel Xeon E3-1545M v5,48.22,1
142,Intel Core i9-13900HK,271.12,1
146,AMD EPYC 7282,266.58,1
607,AMD FX(tm)-9590,50.39,1
606,Intel Xeon E3-1535M v5,50.42,1
150,Intel Xeon E5-2640 v4,157.1,1
604,Intel Xeon E3-1220 v3,50.68,1
153,Intel Xeon Gold 6146,155.06,1
598,Intel Core i5-8279U,51.44,1
589,Intel Core i7-6770HQ,52.79,1
597,Intel Core i7-6920HQ,51.54,1
595,Intel Core i5-9400H,51.97,1
594,AMD Opteron(tm) 6380,52.1,1
593,Intel Core i3-1125G4,52.5,1
592,Intel Core i7-4700HQ,52.53,1
591,Intel Xeon E3-1270 v6,52.54,1
861,Intel Atom N455,1.22,1
